,tiltle,price,link
23,"Sony SRS-XB100 Wireless Bluetooth Portable Lightweight Super-Compact Travel Speaker, Extra-Durable IP67 Waterproof & Dustproof, 16 Hrs Batt, Versatile Strap, Extra Bass & Hands-Free Calling-Black","3,459",https://amazon.in//Sony-Lightweight-Super-Compact-Extra-Durable-Calling-Black/dp/B0C29CL98P/ref=sr_1_30?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.LFUzZ56wS-XW9PanS0d_A8PsboqWb7orhH1Cz_g4xYt2v82xB8jndTNaVqR0gr3kzPUIk1pflYapCPMWN7xHMtuURvg_c-NkuVpXyTTHBjRXEc_gxY7ay7Zph_rzWzTMZrNacbNeBT5tE8thGhabiW6eDab1fWwsnAb2BGRd369kkL87rEeUgDQg_snOuRHSH88VTYghqnerQNX6NN53iNLkBA4m9Q5PAKd3LI5Fx2g.tj-Afdsglx9vhR-4LNosocCSrVhriAzl-hKt4Tstm64&dib_tag=se&keywords=speaker&qid=1751824969&sprefix=speaker%2Caps%2C232&sr=8-30
24,"Boult Newly Launched Bassbox Q30 Bluetooth Speaker with 30 Watt BoomX Audio, Up to 16Hrs Playtime, Type-C Charging, AUX/USB & Bluetooth 5.4 Compatible, Dual Radiator, Portable Speaker (Grey)","2,999",https://amazon.in/https://aax-eu.amazon.in/x/c/JCz9i49EC4P4ANegsxHgOi4AAAGX4OebGwMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICAlNSm7/clv1_CEuOPUxokZA0iHrVft935yCIeVR0FLUc7cks5xGH3r1Rx38dyQG3a_w18HHz9hvVjq0yzpNb3X7OfU0QAGcAI3A5EyPJL-78VU4kPx9aWXasNdhYskfB8IkGXCQSUOW6XJfef1D8rsFSE0M9llvwdksJOldODd93Q196UuYlQRaY37qDjF4oXlv5OpjsdqwyCjQHbdXAhZRSWWhBJNwAffQdjs-hn4wsEjvWNPQG9gUahJtJn6j8Z0wG3nKH1EB2AHnpPv3v4jxS3xU_A8tmSTi3JF-ZjAz9B7yl_bPrUYAZJ0SW56eH2BSUezTvMZuf6PQHwdx4S_Xdm7H8MsuYBMZJ0dhKbBwAvo8C-9FHE6Fj0W5fDGy7yyiN7LUWdhiaYzQ0qnqAj0UNuzT-N52bUz1lAp3XhtVXPtM6C2xN4Sp2M752rihBP2dM-J0mRnMYGeGRQNXmq86WXy4dCTTLqaFKWEG2vEWUYQR5WaRd-NWXKXNt_6mgwAGvbmtDCdGXvtFS_CF8CoIymgGwjQSZ6zz9CBRvUEkOcgmDU2TPNZf2bSaWBD9t80ENAnfyX2DZEaVnuuFlcRCdkrZwltwGIyffMSBcrRFM49kMurj5gHo1hoWBxbIZR1XV_iKvQvefDEEseMAMIity_LV3CKEXijA9poPIEhRaDlQCn9RQib8qGEoQUwP-sFA0_Rbbbbx-0wV88XRh2PkG3v0FDlnpN0Am_ZHiFOrE35SYFXEpQST_vhPDbPdr8BJm-NIGG4Cpvf5vKwPIpG7x7xLCM3TuASh2rzfNL3VYn-NgSMUsZBWi21ogFNBtg2Bls6eKUmO6cPi6TFcXwAHKpNZ2dNBMpsGMm0g2uu2FSrqkkt6CnXCPgmfH1m4R4wjVjGSt5gPKo9o_p_UEhyjvMNESTd8lMN6I3vqFpxdUMBwIBwL2uSDZiDJGM3IkRE5aWhzGz2CBtii_RYHq-YWYgP_QuGmXUN9qbduffKf5x3mRcC1WKfUfYRJyanJIeYfS0D_HaHc9IT_Yxbl2xARsXrk12oKq7Rh4jC5tMfOq-Vdd_INcrhBxdEGMZ7KwBG3aUb0nPNRgb22hRYyTKwk6MIWCBcCioO_YdhP05J5yXuoVCgJrOb2eMnavKOJ0rV1cB4OpouvUkeA_cdbEtgo5NcV6insdUHoHBPn0ICLgF7cfvbLGvYCx9hyG00T25pYjijJFYMskJV-OJlat3GmHfTQJ_FmHIuO_68lb7rZA1xis07NiIUvhKg88fn-K3kaijxsFC7bKWLwhm9CMSHPpY7BoB4QWjmsAx6pUrYeJ7iytmmuSMs7waetKT_PC9vkesByc1ZwzEqckTxT-00jN2-EnaH5_xp_N7Ncgwmx-Y-tVN9sP4LMhtnmmXAOqsPmJEnG8YbZFPQDRXiqSaxTOYB4uDY-YXK2KhT-oGnFR67YJzabtp2pySg1IwpYcJcB3Lj_4Kwas0QQZDHncuoK5pzzlFC_gaW-VpBGwG88TyL4s9oo59F0QkE_EHESDOl9MwpgNg4yji1CpdzhoLeJrEJfhSdoWODXIv_f7Ix6-Bk6oFZhAseO_18mcwZ2ORIR6COQyjupOf9_iO0382bHWbezlHRpWawBl7O787bgj25mVw23hkuXMPkrkGjX1nD1z5XxlYYGHQijjJmf7wYQpU1C9qwBz6YFWRyTaLxw0S8qLfhzWPIkpki3cEk3ANsX7CVNXVNP0Owrvznzpc3VBwiubrdJPdmK0lGMC6WLE8dwMPi_e3VW0l6yCgOoLao5I2XaKHts_uJIVxQ_O6712PuhtY59PxxcvGs6wyF7Xfa38ZBDMqZveG4fA87Utw7lUN7SBhspDshg7VukBD74OmL_hBz7-Ba-fqYdhSPWLA_tKbBO16m-l_6umTZy4kGsIWLKN4dojn4fpKnif36DPuKiF62AnRrn2k4jbNbyg9oM/https://www.amazon.in/Boult-Launched-Bassbox-Bluetooth-Compatible/dp/B0DWXXHXVS/ref=sxin_23_sbv_search_btf?content-id=amzn1.sym.7f127af2-01e9-4e9a-857b-f7f598682cc6%3Aamzn1.sym.7f127af2-01e9-4e9a-857b-f7f598682cc6&crid=X79A61GQ1NB6&cv_ct_cx=speaker&keywords=speaker&pd_rd_i=B0DWXXHXVS&pd_rd_r=160810bb-682e-476c-8b86-31f9b90ffb35&pd_rd_w=f9Ylg&pd_rd_wg=s46JQ&pf_rd_p=7f127af2-01e9-4e9a-857b-f7f598682cc6&pf_rd_r=87ME71FVPP7Y7887593V&qid=1751824964&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=speaker%2Caps%2C232&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81
25,"EDNITA jbl Ultra Mini Wireless Bluetooth Speaker with Heavy Metal Electroplating Round Speaker | Wireless Power Button Controlled, Long Lasting Battery & Quick Charge Pack of 1 (Multicolor)",301,https://amazon.in//EDNITA-Bluetooth-Electroplating-Controlled-Multicolor/dp/B0D9R1F7ZP/ref=sr_1_8?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.wOJqH2wksQrSPDwbiIf0ywn9jXAPDRz4ry3smkEZOWBNruXQZTtwIM6DjYqBWW46tD_-UpIznxAEn1Hf-IHQypJ9Bhv5pSyuaqkdwG5lGeOJ_1B0Rt5R7-6uz-NGnBBeCos-DNrwYO-5hoOhITIMEwdrS_0KxYGbfcXPsjl_GbiDwmdHZwj49PEb4UZVn4Slp2hq5uzctH0Uk_QiBe1Kak21ATveOBepN51aDBqk5pw.5Z4PEe_l2kWODVPjQ61O5CvBxDKBUKRWGNa48HkhCPg&dib_tag=se&keywords=speaker&qid=1751824964&sprefix=speaker%2Caps%2C232&sr=8-8
26,"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Function. (Black)",509,https://amazon.in//Zebronics-Zeb-County-Bluetooth-Speaker-Function/dp/B07YNV41FT/ref=sr_1_4?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.wOJqH2wksQrSPDwbiIf0ywn9jXAPDRz4ry3smkEZOWBNruXQZTtwIM6DjYqBWW46tD_-UpIznxAEn1Hf-IHQypJ9Bhv5pSyuaqkdwG5lGeOJ_1B0Rt5R7-6uz-NGnBBeCos-DNrwYO-5hoOhITIMEwdrS_0KxYGbfcXPsjl_GbiDwmdHZwj49PEb4UZVn4Slp2hq5uzctH0Uk_QiBe1Kak21ATveOBepN51aDBqk5pw.5Z4PEe_l2kWODVPjQ61O5CvBxDKBUKRWGNa48HkhCPg&dib_tag=se&keywords=speaker&qid=1751824964&sprefix=speaker%2Caps%2C232&sr=8-4
27,"Mivi Roam 2 Bluetooth Speakers wireless-5W Portable Speaker,24 Hours Playtime,Powerful Bass, Wireless Stereo Speaker with Studio Quality Sound,Waterproof, Bluetooth 5.0 and in-Built Mic, Made In India",799,https://amazon.in//Mivi-Wireless-Bluetooth-Waterproof-Assistance/dp/B08PGYZQ9H/ref=sr_1_25?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.LFUzZ56wS-XW9PanS0d_A8PsboqWb7orhH1Cz_g4xYt2v82xB8jndTNaVqR0gr3kzPUIk1pflYapCPMWN7xHMtuURvg_c-NkuVpXyTTHBjRXEc_gxY7ay7Zph_rzWzTMZrNacbNeBT5tE8thGhabiW6eDab1fWwsnAb2BGRd369kkL87rEeUgDQg_snOuRHSH88VTYghqnerQNX6NN53iNLkBA4m9Q5PAKd3LI5Fx2g.tj-Afdsglx9vhR-4LNosocCSrVhriAzl-hKt4Tstm64&dib_tag=se&keywords=speaker&qid=1751824969&sprefix=speaker%2Caps%2C232&sr=8-25
28,"Portronics SoundDrum P 20W Portable Bluetooth Speaker with 6-7 hrs Playback Time, Handsfree Calling, USB Slot, Aux-in Port, Type C Charging (Black)","1,729",https://amazon.in/javascript:void(0)
29,"boAt Stone 580 Bluetooth Speaker with 12W RMS Stereo Sound, LED Lights, Up to 8 HRS Playtime, TWS Feature, FM Radio, Multi-Compatibility Mode, IPX4(Midnight Black)","1,499",https://amazon.in//boAt-Stone-580-Bluetooth-Multi-Compatibility/dp/B0CC5VH2LW/ref=sr_1_13?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.wOJqH2wksQrSPDwbiIf0ywn9jXAPDRz4ry3smkEZOWBNruXQZTtwIM6DjYqBWW46tD_-UpIznxAEn1Hf-IHQypJ9Bhv5pSyuaqkdwG5lGeOJ_1B0Rt5R7-6uz-NGnBBeCos-DNrwYO-5hoOhITIMEwdrS_0KxYGbfcXPsjl_GbiDwmdHZwj49PEb4UZVn4Slp2hq5uzctH0Uk_QiBe1Kak21ATveOBepN51aDBqk5pw.5Z4PEe_l2kWODVPjQ61O5CvBxDKBUKRWGNa48HkhCPg&dib_tag=se&keywords=speaker&qid=1751824964&sprefix=speaker%2Caps%2C232&sr=8-13
30,"ZEBRONICS Astra 35, Portable Bluetooth Speaker, 16 Watts, Upto 8h Backup, Dual Drivers + Dual Passive Radiators, Call Function, Bluetooth v5.3 | USB | mSD| AUX, TWS, RGB LED",999,https://amazon.in//ZEBRONICS-35-Portable-Bluetooth-Radiators/dp/B0DJ3FFC8R/ref=sr_1_20?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.LFUzZ56wS-XW9PanS0d_A8PsboqWb7orhH1Cz_g4xYt2v82xB8jndTNaVqR0gr3kzPUIk1pflYapCPMWN7xHMtuURvg_c-NkuVpXyTTHBjRXEc_gxY7ay7Zph_rzWzTMZrNacbNeBT5tE8thGhabiW6eDab1fWwsnAb2BGRd369kkL87rEeUgDQg_snOuRHSH88VTYghqnerQNX6NN53iNLkBA4m9Q5PAKd3LI5Fx2g.tj-Afdsglx9vhR-4LNosocCSrVhriAzl-hKt4Tstm64&dib_tag=se&keywords=speaker&qid=1751824969&sprefix=speaker%2Caps%2C232&sr=8-20
31,"Carvaan Mini 2.0 Wireless, Auxiliary, USB, Bluetooth Bookshelf Speaker (Terracotta Brown)","2,490",https://amazon.in/javascript:void(0)
32,"Boult Just Launched X160 2.1 Channel Bluetooth Soundbar with BoomX Subwoofer, 160-Watt Output Surround Sound, EQ Modes, Remote Accessibility, USB/HDMI/AUX & Optical Fiber Connectivity Sound bar for TV","5,499",https://amazon.in/javascript:void(0)
33,"Portronics SoundDrum P 20W Portable Bluetooth Speaker with 6-7 hrs Playback Time, Handsfree Calling, USB Slot, Aux-in Port, Type C Charging (Black)","1,729",https://amazon.in/javascript:void(0)
34,"ZEBRONICS Igloo 1, 2.0 USB Computer Speakers, 8 Watts, Multicolor LED, USB Powered, AUX, Volume Control Pod for PC, Laptops, Desktop",499,https://amazon.in//ZEBRONICS-Computer-Speakers-Multicolor-Powered/dp/B0DB29X1YX/ref=sr_1_6?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.wOJqH2wksQrSPDwbiIf0ywn9jXAPDRz4ry3smkEZOWBNruXQZTtwIM6DjYqBWW46tD_-UpIznxAEn1Hf-IHQypJ9Bhv5pSyuaqkdwG5lGeOJ_1B0Rt5R7-6uz-NGnBBeCos-DNrwYO-5hoOhITIMEwdrS_0KxYGbfcXPsjl_GbiDwmdHZwj49PEb4UZVn4Slp2hq5uzctH0Uk_QiBe1Kak21ATveOBepN51aDBqk5pw.5Z4PEe_l2kWODVPjQ61O5CvBxDKBUKRWGNa48HkhCPg&dib_tag=se&keywords=speaker&qid=1751824964&sprefix=speaker%2Caps%2C232&sr=8-6
35,"HAMMER Drop 5W Bluetooth Wireless Speaker with Twin Pairing, 1200 mAh Battery, 100H Standby Time, TWS Function, TF Card, USB Slot, Auto-Pairing, in-Built Mic, Type-C Charging, 52mm Driver (Beige)",699,https://amazon.in//HAMMER-Bluetooth-Wireless-Function-Auto-Pairing/dp/B0D7SNDKW9/ref=sr_1_15?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.wOJqH2wksQrSPDwbiIf0ywn9jXAPDRz4ry3smkEZOWBNruXQZTtwIM6DjYqBWW46tD_-UpIznxAEn1Hf-IHQypJ9Bhv5pSyuaqkdwG5lGeOJ_1B0Rt5R7-6uz-NGnBBeCos-DNrwYO-5hoOhITIMEwdrS_0KxYGbfcXPsjl_GbiDwmdHZwj49PEb4UZVn4Slp2hq5uzctH0Uk_QiBe1Kak21ATveOBepN51aDBqk5pw.5Z4PEe_l2kWODVPjQ61O5CvBxDKBUKRWGNa48HkhCPg&dib_tag=se&keywords=speaker&qid=1751824964&sprefix=speaker%2Caps%2C232&sr=8-15
36,"boAt Stone 352 Pro/Stone 358 Pro w/ 14W Signature Sound, Up to 12 Hours Playback, RGB LEDs, TWS Feature, Built-in Mic, BTv5.3, AUX Port, IPX5 & Type-C Interface Bluetooth Speaker(Vibing Blue)","1,599",https://amazon.in//boAt-Stone-352-Pro-Signature/dp/B0D6W6T95D/ref=sr_1_18?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.wOJqH2wksQrSPDwbiIf0ywn9jXAPDRz4ry3smkEZOWBNruXQZTtwIM6DjYqBWW46tD_-UpIznxAEn1Hf-IHQypJ9Bhv5pSyuaqkdwG5lGeOJ_1B0Rt5R7-6uz-NGnBBeCos-DNrwYO-5hoOhITIMEwdrS_0KxYGbfcXPsjl_GbiDwmdHZwj49PEb4UZVn4Slp2hq5uzctH0Uk_QiBe1Kak21ATveOBepN51aDBqk5pw.5Z4PEe_l2kWODVPjQ61O5CvBxDKBUKRWGNa48HkhCPg&dib_tag=se&keywords=speaker&qid=1751824964&sprefix=speaker%2Caps%2C232&sr=8-18
37,Marshall Emberton II 20 W Wireless Bluetooth Portable Outdoor Speaker (Black & Brass),"14,999",https://amazon.in//Marshall-Emberton-Wireless-Bluetooth-Portable/dp/B09XXW54QG/ref=sr_1_36?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.LFUzZ56wS-XW9PanS0d_A8PsboqWb7orhH1Cz_g4xYt2v82xB8jndTNaVqR0gr3kzPUIk1pflYapCPMWN7xHMtuURvg_c-NkuVpXyTTHBjRXEc_gxY7ay7Zph_rzWzTMZrNacbNeBT5tE8thGhabiW6eDab1fWwsnAb2BGRd369kkL87rEeUgDQg_snOuRHSH88VTYghqnerQNX6NN53iNLkBA4m9Q5PAKd3LI5Fx2g.tj-Afdsglx9vhR-4LNosocCSrVhriAzl-hKt4Tstm64&dib_tag=se&keywords=speaker&qid=1751824969&sprefix=speaker%2Caps%2C232&sr=8-36
38,"boAt Stone 135 Portable Wireless Speaker with 5W RMS Immersive Sound,IPX4 Water Resistance, True Wireless Feature, Up to 11H Total Playtime, Multi-Connectivity Modes With Type C Charging(Active Black)",999,https://amazon.in//boAt-Portable-Immersive-Resistance-Multi-Connectivity/dp/B0B12Q8K2X/ref=sr_1_9?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.wOJqH2wksQrSPDwbiIf0ywn9jXAPDRz4ry3smkEZOWBNruXQZTtwIM6DjYqBWW46tD_-UpIznxAEn1Hf-IHQypJ9Bhv5pSyuaqkdwG5lGeOJ_1B0Rt5R7-6uz-NGnBBeCos-DNrwYO-5hoOhITIMEwdrS_0KxYGbfcXPsjl_GbiDwmdHZwj49PEb4UZVn4Slp2hq5uzctH0Uk_QiBe1Kak21ATveOBepN51aDBqk5pw.5Z4PEe_l2kWODVPjQ61O5CvBxDKBUKRWGNa48HkhCPg&dib_tag=se&keywords=speaker&qid=1751824964&sprefix=speaker%2Caps%2C232&sr=8-9
39,"amazon basics SB20R 20W Bluetooth Soundbar with 3600 mAh Battery | 2X Bass | Up to 10 hrs of Playback | Blue LED Lights | Bluetooth 5.3, Aux & USB Connectivity (Black)",899,https://amazon.in//amazon-basics-Bluetooth-Soundbar-Connectivity/dp/B0DGXSC4JY/ref=sr_1_34?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.LFUzZ56wS-XW9PanS0d_A8PsboqWb7orhH1Cz_g4xYt2v82xB8jndTNaVqR0gr3kzPUIk1pflYapCPMWN7xHMtuURvg_c-NkuVpXyTTHBjRXEc_gxY7ay7Zph_rzWzTMZrNacbNeBT5tE8thGhabiW6eDab1fWwsnAb2BGRd369kkL87rEeUgDQg_snOuRHSH88VTYghqnerQNX6NN53iNLkBA4m9Q5PAKd3LI5Fx2g.tj-Afdsglx9vhR-4LNosocCSrVhriAzl-hKt4Tstm64&dib_tag=se&keywords=speaker&qid=1751824969&sprefix=speaker%2Caps%2C232&sr=8-34
40,"Zebronics Zeb-Warrior 2.0 Multimedia Speaker With Aux Connectivity,USB Powered And Volume Control",699,https://amazon.in//Zebronics-Zeb-Warrior-Multimedia-Speaker-Connectivity/dp/B07ZZBYWKF/ref=sr_1_21?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.LFUzZ56wS-XW9PanS0d_A8PsboqWb7orhH1Cz_g4xYt2v82xB8jndTNaVqR0gr3kzPUIk1pflYapCPMWN7xHMtuURvg_c-NkuVpXyTTHBjRXEc_gxY7ay7Zph_rzWzTMZrNacbNeBT5tE8thGhabiW6eDab1fWwsnAb2BGRd369kkL87rEeUgDQg_snOuRHSH88VTYghqnerQNX6NN53iNLkBA4m9Q5PAKd3LI5Fx2g.tj-Afdsglx9vhR-4LNosocCSrVhriAzl-hKt4Tstm64&dib_tag=se&keywords=speaker&qid=1751824969&sprefix=speaker%2Caps%2C232&sr=8-21
41,"Honeywell Newly Launched Suono P300 10W 5.3 Bluetooth Speaker,9H Playtime, Deep Bass,IPX 4,TWS Feature,Fast Charging,SD Card,USB,AUX,Built-in Mic and 52mm Drivers,2 Years Manufacturer Warranty - Blue","1,119",https://amazon.in/javascript:void(0)
42,"Tribit StormBox Mini+ Bluetooth Speaker 12W,360째Surround Sound,12H Playtime,BT 5.4,IPX7 Waterproof,LED Lights,Custom EQ,TWS Pairing,Type-C, AAC/SBC Support,Portable for Home/Outdoor/Travel Black","2,299",https://amazon.in/javascript:void(0)
43,"ZEBRONICS Zeb-Pluto 2.0 Multimedia Speaker with Aux Connectivity,USB Powered and Volume Control",299,https://amazon.in//Zebronics-Zeb-Pluto-Multimedia-Speaker-Connectivity/dp/B07ZZCBQZD/ref=sr_1_20?crid=X79A61GQ1NB6&dib=eyJ2IjoiMSJ9.wOJqH2wksQrSPDwbiIf0ywn9jXAPDRz4ry3smkEZOWBNruXQZTtwIM6DjYqBWW46tD_-UpIznxAEn1Hf-IHQypJ9Bhv5pSyuaqkdwG5lGeOJ_1B0Rt5R7-6uz-NGnBBeCos-DNrwYO-5hoOhITIMEwdrS_0KxYGbfcXPsjl_GbiDwmdHZwj49PEb4UZVn4Slp2hq5uzctH0Uk_QiBe1Kak21ATveOBepN51aDBqk5pw.5Z4PEe_l2kWODVPjQ61O5CvBxDKBUKRWGNa48HkhCPg&dib_tag=se&keywords=speaker&qid=1751824964&sprefix=speaker%2Caps%2C232&sr=8-20
